Year,Month,Range,Storage (%)
2023,April,Kurunegala,75.4
2023,April,Monaragala,64.1
2023,April,Polonnaruwa,85.7
2023,April,Puttalam,50.7
2023,April,Trincomalee,86.8
2023,April,Mannar,64.7
2023,May,Ampara,46.8
2023,May,Anuradhapura,77.7
2023,May,Badulla,86.3
2023,May,Batticalo,85.5
2023,May,Hambantota,72.4
2023,May,Galle,82.2
2023,May,Kandy,82.7
2023,May,Kurunegala,86.5
2023,May,Monaragala,64.6
2023,May,Polonnaruwa,84.5
2023,May,Puttalam,74.6
2023,May,Trincomalee,85.9
2023,May,Mannar,76.2
2023,June,Ampara,38
2023,June,Anuradhapura,64
2023,June,Badulla,78.7
2023,June,Batticalo,62.2
2023,June,Hambantota,65.3
2023,June,Galle,95.5
2023,June,Kandy,70.9
2023,June,Kurunegala,64
2023,June,Monaragala,57.5
2023,June,Polonnaruwa,70.6
2023,June,Puttalam,56.5
2023,June,Trincomalee,68.7
2023,June,Mannar,62.9
2023,July,Ampara,29.5
2023,July,Anuradhapura,48.4
2023,July,Badulla,62.1
2023,July,Batticalo,45.1
2023,July,Hambantota,52.2
2023,July,Galle,100
2023,July,Kandy,57.6
2023,July,Kurunegala,49.4
2023,July,Monaragala,44.3
2023,July,Polonnaruwa,58.5
2023,July,Puttalam,36.2
2023,July,Trincomalee,49.4
2023,July,Mannar,43.5
2023,August,Ampara,22.4
2023,August,Anuradhapura,32.6
2023,August,Badulla,39.2
2023,August,Batticalo,36.3
2023,August,Hambantota,35
2023,August,Galle,98
2023,August,Kandy,37.2
2023,August,Kurunegala,35.7
2023,August,Monaragala,34.8
2023,August,Polonnaruwa,45.2
2023,August,Puttalam,16.8
2023,August,Trincomalee,33.9
2023,August,Mannar,20.8
2023,September,Ampara,20.1
2023,September,Anuradhapura,28.1
2023,September,Badulla,28.1
2023,September,Batticalo,33.4
2023,September,Hambantota,29.3
2023,September,Galle,100
2023,September,Kandy,27.5
2023,September,Kurunegala,31.4
2023,September,Monaragala,29.6
2023,September,Polonnaruwa,41.4
2023,September,Puttalam,7.9
2023,September,Trincomalee,33.5
2023,September,Mannar,6.5
2023,October,Ampara,21.1
2023,October,Anuradhapura,26.8
2023,October,Badulla,27.1
2023,October,Batticalo,36.8
2023,October,Hambantota,40.7
2023,October,Galle,100
2023,October,Kandy,31.3
2023,October,Kurunegala,44.9
2023,October,Monaragala,29
2023,October,Polonnaruwa,39.7
2023,October,Puttalam,10.1
2023,October,Trincomalee,32.1
2023,October,Mannar,4.3
2023,November,Ampara,26
2023,November,Anuradapura,74
2023,November,Badulla,58.6
2023,November,Batticaloa,43
2023,November,Hambantota,86.6
2023,November,Galle,100
2023,November,Kandy,89.6
2023,November,Kurunegala,90.8
2023,November,Monaragala,61.6
2023,November,Polonnaruwa,65.8
2023,November,Puttalam,51.7
2023,November,Trincomalee,60.6
2023,November,Mannar,53.6
2023,December,Ampara,44.5
2023,December,Anuradapura,93.2
2023,December,Badulla,86.3
2023,December,Batticaloa,74.2
2023,December,Hambantota,90.7
2023,December,Galle,100
2023,December,Kandy,100
2023,December,Kurunegala,90.4
2023,December,Monaragala,86.4
2023,December,Polonnaruwa,75.2
2023,December,Puttalam,92.7
2023,December,Trincomalee,82.3
2023,December,Mannar,97.7
2022,January,Ampara,47
2022,January,Anuradhapura,94
2022,January,Badulla,80
2022,January,Batticalo,93
2022,January,Hambantota,64
2022,January,Galle,93
2022,January,Kandy,99
2022,January,Kurunegala,84
2022,January,Monaragala,82
2022,January,Polonnaruwa,88
2022,January,Puttalam,84
2022,January,Trincomalee,82
2022,January,Mannar,94
2022,February,Ampara,46
2022,February,Anuradhapura,88
2022,February,Badulla,76
2022,February,Batticalo,94
2022,February,Hambantota,56
2022,February,Galle,89
2022,February,Kandy,84
2022,February,Kurunegala,63
2022,February,Monaragala,76
2022,February,Polonnaruwa,82
2022,February,Puttalam,66
2022,February,Trincomalee,76
2022,February,Mannar,75
2022,March,Ampara,51
2022,March,Anuradhapura,89
2022,March,Badulla,77
2022,March,Batticalo,100
2022,March,Hambantota,46
2022,March,Galle,88
2022,March,Kandy,78
2022,March,Kurunegala,56
2022,March,Monaragala,66
2022,March,Polonnaruwa,86
2022,March,Puttalam,62
2022,March,Trincomalee,89
2022,March,Mannar,63
2022,April,Ampara,48
2022,April,Anuradhapura,87
2022,April,Badulla,69
2022,April,Batticalo,94
2022,April,Hambantota,41
2022,April,Galle,85
2022,April,Kandy,76
2022,April,Kurunegala,55
2022,April,Monaragala,58
2022,April,Polonnaruwa,91
2022,April,Puttalam,56
2022,April,Trincomalee,87
2022,April,Mannar,61
2022,May,Ampara,47
2022,May,Anuradhapura,91
2022,May,Badulla,64
2022,May,Batticalo,89
2022,May,Hambantota,66
2022,May,Galle,82
2022,May,Kandy,94
2022,May,Kurunegala,82
2022,May,Monaragala,64
2022,May,Polonnaruwa,94
2022,May,Puttalam,76
2022,May,Trincomalee,89
2022,May,Mannar,87
2022,June,Ampara,36
2022,June,Anuradhapura,74
2022,June,Badulla,48
2022,June,Batticalo,67
2022,June,Hambantota,60
2022,June,Galle,96
2022,June,Kandy,81
